SMILES_spectra,CAS,Molecular_Formula,Precursor_m/z,Spectrum,Ionization_Mode,Instrument_Type,Collision_Energy,SMILES_tox,Response_Modifier,Response,Response_Unit
'C1CCC(CC1)NC1CCCCC1','122-39-4','C12H23N','182.1903','55.0541:29.470101 83.0855:100.000000 100.1121:17.714836 182.1902:8.195119','positive','LC-ESI-ITFT','85% (nominal)','C1CCC(CC1)NC1CCCCC1','',373,'mg/kg'
'C1CCC(CC1)NC1CCCCC1','122-39-4','C12H23N','182.1903','55.0541:30.380685 83.0855:100.000000 98.0963:0.754418 100.1121:23.084630 182.1903:14.998888','positive','LC-ESI-ITFT','80% (nominal)','C1CCC(CC1)NC1CCCCC1','',373,'mg/kg'
'C1CCC(CC1)NC1CCCCC1','122-39-4','C12H23N','182.1903','55.0541:28.119416 83.0855:100.000000 98.0964:0.857404 100.1121:33.028265 182.1903:28.465807','positive','LC-ESI-ITFT','75% (nominal)','C1CCC(CC1)NC1CCCCC1','',373,'mg/kg'
'C1CCC(CC1)NC1CCCCC1','122-39-4','C12H23N','182.1903','55.0541:25.640222 83.0856:100.000000 98.0966:0.755771 100.1121:47.263672 182.1904:55.353679','positive','LC-ESI-ITFT','70% (nominal)','C1CCC(CC1)NC1CCCCC1','',373,'mg/kg'
'C1CCC(CC1)NC1CCCCC1','122-39-4','C12H23N','182.1903','55.0541:26.279826 83.0856:100.000000 98.0963:0.807290 100.1121:61.898508 182.1904:93.734686','positive','LC-ESI-ITFT','65% (nominal)','C1CCC(CC1)NC1CCCCC1','',373,'mg/kg'
'C1CCC(CC1)NC1CCCCC1','122-39-4','C12H23N','182.1903','55.0541:14.043813 83.0856:57.905951 98.0963:0.428334 100.1121:47.773789 182.1904:100.000000','positive','LC-ESI-ITFT','60% (nominal)','C1CCC(CC1)NC1CCCCC1','',373,'mg/kg'
'C1CCC(CC1)NC1CCCCC1','122-39-4','C12H23N','182.1903','55.0541:7.039303 83.0855:31.585015 98.0966:0.315594 100.1121:33.927177 182.1903:100.000000','positive','LC-ESI-ITFT','55% (nominal)','C1CCC(CC1)NC1CCCCC1','',373,'mg/kg'
'C1CCC(CC1)NC1CCCCC1','122-39-4','C12H23N','182.1903','55.054:3.852597 83.0855:17.854296 100.112:24.234561 182.1902:100.000000','positive','LC-ESI-ITFT','50% (nominal)','C1CCC(CC1)NC1CCCCC1','',373,'mg/kg'
'C1CCC(CC1)NC1CCCCC1','122-39-4','C12H23N','182.1903','55.0541:1.839593 83.0856:8.709921 98.0968:0.109333 100.1121:15.843430 182.1903:100.000000','positive','LC-ESI-ITFT','45% (nominal)','C1CCC(CC1)NC1CCCCC1','',373,'mg/kg'
'C1CCC(CC1)NC1CCCCC1','122-39-4','C12H23N','182.1903','55.0541:0.832666 83.0856:4.035300 100.1121:9.251725 182.1904:100.000000','positive','LC-ESI-ITFT','40% (nominal)','C1CCC(CC1)NC1CCCCC1','',373,'mg/kg'
'C1CCC(CC1)NC1CCCCC1','122-39-4','C12H23N','182.1903','55.0541:0.290911 83.0855:1.585585 100.112:4.690019 182.1903:100.000000','positive','LC-ESI-ITFT','35% (nominal)','C1CCC(CC1)NC1CCCCC1','',373,'mg/kg'
'C1CCC(CC1)NC1CCCCC1','122-39-4','C12H23N','182.1903','100.1121:1.662345 182.1904:100.000000','positive','LC-ESI-ITFT','30% (nominal)','C1CCC(CC1)NC1CCCCC1','',373,'mg/kg'
'C1CCC(CC1)NC1CCCCC1','122-39-4','C12H23N','182.1903','100.112:0.368363 182.1903:100.000000','positive','LC-ESI-ITFT','25% (nominal)','C1CCC(CC1)NC1CCCCC1','',373,'mg/kg'
'C1CCC(CC1)NC1CCCCC1','122-39-4','C12H23N','182.1903','182.1903:100.000000','positive','LC-ESI-ITFT','20% (nominal)','C1CCC(CC1)NC1CCCCC1','',373,'mg/kg'
'C1CCC(CC1)NC1CCCCC1','122-39-4','C12H23N','182.1903','182.1903:100.000000','positive','LC-ESI-ITFT','15% (nominal)','C1CCC(CC1)NC1CCCCC1','',373,'mg/kg'
'C1CCC(CC1)NC1CCCCC1','122-39-4','C12H23N','182.1903','182.1904:100.000000','positive','LC-ESI-ITFT','10% (nominal)','C1CCC(CC1)NC1CCCCC1','',373,'mg/kg'
'C1CCNC1','NaN','C4H9N','72.0807800292969','55.05372:1.723593 72.08054:100 73.08402:4.713748','Positive','LC-ESI-QTOF','30','C1CCNC1','',300,'mg/kg'
'C1CCNC1','NaN','C4H9N','72.0807800292969','72.08054:100 73.08402:4.541887','Positive','LC-ESI-QTOF','10','C1CCNC1','',300,'mg/kg'
'C1CCNC1','NaN','C4H9N','72.0807800292969','72.08105:100 73.08424:3.3','Positive','LC-ESI-QTOF','30','C1CCNC1','',300,'mg/kg'
'C1CCNC1','NaN','C4H9N','72.0807800292969','55.05377:1.5 72.08063:100 73.08402:4.5','Positive','LC-ESI-QTOF','10','C1CCNC1','',300,'mg/kg'
'C1CCNCC1','110-89-4','C5H11N','86.0964','67.0542:0.101997 69.0698:3.160920 86.0962:100.000000','positive','LC-ESI-QFT','35  (nominal)','C1CCNCC1','',400,'mg/kg'
'C1CCNCC1','NaN','C5H11N','86.09694','69.071:7.917962 86.066:1.021589 86.0969:100.000000','positive','LC-Q-TOF/MS','30 V','C1CCNCC1','',400,'mg/kg'
'C1CCOC1','NaN','C4H8O','NaN','57.0:68.703 31.0:69.095 40.0:69.427 58.0:69.702 42.0:69.812 71.0:71.333 39.0:72.692 41.0:73.019 44.0:73.782 55.0:78.032 74.0:78.376 72.0:82.743 45.0:84.412 43.0:93.099 73.0:100.0','positive','Quattro_QQQ','NaN','C1CCOC1','',1650,'mg/kg'
'C1CCOC1','NaN','C4H8O','NaN','53.0:24.171 39.0:25.658 74.0:26.194 46.0:26.196 56.0:28.073 41.0:30.332 44.0:35.468 31.0:35.561 57.0:36.285 72.0:36.478 58.0:45.071 73.0:74.039 45.0:83.895 43.0:84.667 55.0:100.0','positive','Quattro_QQQ','NaN','C1CCOC1','',1650,'mg/kg'
'C1CCOC1','NaN','C4H8O','NaN','45.0:17.244 73.0:96.398 55.0:100.0','positive','Quattro_QQQ','NaN','C1CCOC1','',1650,'mg/kg'
'C=CCOC(=O)C1=CC=C(C(=O)OCC=C)C(=C1)C(=O)OCC=C','2694-54-4','C18H18O6','331.1176','97.0651:100.000000','positive','LC-ESI-QFT','60','C=CCOC(=O)C1=CC=C(C(=O)OCC=C)C(=C1)C(=O)OCC=C','',2400,'mg/kg'
'C=CCOC(=O)C1=CC=C(C(=O)OCC=C)C(=C1)C(=O)OCC=C','2694-54-4','C18H18O6','331.1176','81.0701:59.274128 97.0648:100.000000','positive','LC-ESI-QFT','45','C=CCOC(=O)C1=CC=C(C(=O)OCC=C)C(=C1)C(=O)OCC=C','',2400,'mg/kg'
'C=CCOC(=O)C1=CC=C(C(=O)OCC=C)C(=C1)C(=O)OCC=C','2694-54-4','C18H18O6','331.1176','81.0699:100.000000','positive','LC-ESI-QFT','15','C=CCOC(=O)C1=CC=C(C(=O)OCC=C)C(=C1)C(=O)OCC=C','',2400,'mg/kg'
'CC(=C)C(=O)NC1=CC=C(Cl)C(Cl)=C1','2164-09-2','C10H9Cl2NO','227.9988','55.0189:100.000000 86.0037:4.159092 89.0032:0.685856 98.9644:5.439294 100.0194:1.892516 113.9986:2.787993 114.035:0.570918 121.9803:9.451395 123.9962:0.484457 124.98:5.464434 149.9752:12.189735 155.0377:2.710487 156.0455:4.515469 159.9729:1.288838 160.9566:2.801973 185.952:1.235846 190.007:1.460154 225.9832:0.453384','negative','LC-ESI-QFT','90','CC(=C)C(=O)NC1=CC=C(Cl)C(Cl)=C1','',1800,'mg/kg'
